work_year,experience_level,employment_type,salary,remote_ratio,company_size,condensedsalary,safeZoneLow,safeZoneUp,safeZone
2023,1,3,175000,100,3,0.875,0.5,1.0,0.5
2023,1,3,136000,0,1,-0.09999999999999998,-0.5,0.0,0.5
2023,1,3,141000,0,3,0.02499999999999991,0.0,0.5,0.5
2023,1,3,147100,0,3,0.1775,0.0,0.5,0.5
2023,1,3,130000,100,3,-0.25,-0.5,0.0,0.5
2023,1,3,100000,100,3,-1.0,-1.0,-0.5,0.5
2023,3,3,130760,0,1,-0.23099999999999998,-0.5,0.0,0.5
2023,1,3,147100,0,3,0.1775,0.0,0.5,0.5
2023,1,3,170000,0,3,0.75,0.5,1.0,0.5
2023,1,3,150000,0,3,0.25,0.0,0.5,0.5
2023,2,3,150000,100,3,0.25,0.0,0.5,0.5
2023,2,3,110000,100,3,-0.75,-1.0,-0.5,0.5
2023,1,3,174000,0,3,0.8500000000000001,0.5,1.0,0.5
2023,1,3,143200,100,3,0.08000000000000007,0.0,0.5,0.5
2023,1,3,156400,0,3,0.4099999999999999,0.0,0.5,0.5
2023,1,3,130000,0,3,-0.25,-0.5,0.0,0.5
2023,2,3,162500,0,3,0.5625,0.5,1.0,0.5
2023,2,3,130000,0,3,-0.25,-0.5,0.0,0.5
2023,2,3,105380,0,3,-0.8654999999999999,-1.0,-0.5,0.5
2023,3,3,100000,100,1,-1.0,-1.0,-0.5,0.5
2023,3,3,110680,0,1,-0.733,-1.0,-0.5,0.5
2023,1,3,123600,100,3,-0.41000000000000003,-0.5,0.0,0.5
2023,1,3,139000,0,3,-0.025000000000000022,-0.5,0.0,0.5
2023,1,3,166000,100,3,0.6499999999999999,0.5,1.0,0.5
2023,1,3,172500,100,3,0.8125,0.5,1.0,0.5
2023,1,3,110500,100,3,-0.7375,-1.0,-0.5,0.5
2023,1,3,176000,0,3,0.8999999999999999,0.5,1.0,0.5
2023,1,3,159100,0,1,0.47750000000000004,0.0,0.5,0.5
2023,1,3,115000,0,3,-0.625,-1.0,-0.5,0.5
2023,1,3,168100,100,3,0.7024999999999999,0.5,1.0,0.5
2023,1,3,139000,100,3,-0.025000000000000022,-0.5,0.0,0.5
2023,1,3,150000,100,3,0.25,0.0,0.5,0.5
2023,1,3,129300,0,3,-0.26749999999999996,-0.5,0.0,0.5
2023,1,3,175000,100,3,0.875,0.5,1.0,0.5
2023,1,3,105000,0,3,-0.875,-1.0,-0.5,0.5
2023,3,3,163196,0,3,0.5799000000000001,0.5,1.0,0.5
2023,3,3,145885,0,3,0.14712499999999995,0.0,0.5,0.5
2023,1,3,104300,0,1,-0.8925,-1.0,-0.5,0.5
2023,1,3,145000,0,3,0.125,0.0,0.5,0.5
2023,1,3,165000,0,3,0.625,0.5,1.0,0.5
2023,1,3,132300,0,3,-0.1925,-0.5,0.0,0.5
2023,1,3,179170,0,3,0.97925,0.5,1.0,0.5
2023,1,3,152500,0,3,0.3125,0.0,0.5,0.5
2023,1,3,116450,0,3,-0.58875,-1.0,-0.5,0.5
2023,1,3,133800,0,3,-0.15500000000000003,-0.5,0.0,0.5
2023,1,3,133000,0,3,-0.17500000000000004,-0.5,0.0,0.5
2023,1,3,150000,0,3,0.25,0.0,0.5,0.5
2023,1,3,179820,0,3,0.9955,0.5,1.0,0.5
2023,1,3,143860,0,3,0.09650000000000003,0.0,0.5,0.5
2023,1,3,129300,0,3,-0.26749999999999996,-0.5,0.0,0.5
2023,1,3,129000,0,3,-0.275,-0.5,0.0,0.5
2023,2,3,155000,0,3,0.375,0.0,0.5,0.5
2023,1,3,161800,100,3,0.5449999999999999,0.5,1.0,0.5
2023,1,3,141600,100,3,0.040000000000000036,0.0,0.5,0.5
2023,1,3,176100,0,1,0.9025000000000001,0.5,1.0,0.5
2023,2,3,100000,100,3,-1.0,-1.0,-0.5,0.5
2023,1,3,138784,100,3,-0.030399999999999983,-0.5,0.0,0.5
2023,1,3,138900,0,3,-0.02749999999999997,-0.5,0.0,0.5
2023,1,3,143200,0,3,0.08000000000000007,0.0,0.5,0.5
2023,2,3,100000,100,3,-1.0,-1.0,-0.5,0.5
2023,2,3,105000,50,1,-0.875,-1.0,-0.5,0.5
2023,1,3,145000,0,3,0.125,0.0,0.5,0.5
2023,1,3,115000,0,3,-0.625,-1.0,-0.5,0.5
2023,1,3,168400,0,3,0.71,0.5,1.0,0.5
2023,1,3,105200,0,3,-0.87,-1.0,-0.5,0.5
2023,1,3,159100,0,1,0.47750000000000004,0.0,0.5,0.5
2023,1,3,150000,0,3,0.25,0.0,0.5,0.5
2023,2,3,162500,0,3,0.5625,0.5,1.0,0.5
2023,2,3,130000,0,3,-0.25,-0.5,0.0,0.5
2023,1,3,150000,100,3,0.25,0.0,0.5,0.5
2023,1,3,145000,0,3,0.125,0.0,0.5,0.5
2023,1,3,136000,0,1,-0.09999999999999998,-0.5,0.0,0.5
2023,1,3,155000,0,3,0.375,0.0,0.5,0.5
2023,1,3,170000,0,3,0.75,0.5,1.0,0.5
2023,1,3,180000,100,3,1.0,0.5,1.0,0.5
2023,1,3,115000,100,3,-0.625,-1.0,-0.5,0.5
2023,1,3,115000,100,3,-0.625,-1.0,-0.5,0.5
2023,2,3,180000,0,3,1.0,0.5,1.0,0.5
2023,2,3,130000,0,3,-0.25,-0.5,0.0,0.5
2023,1,3,150000,100,3,0.25,0.0,0.5,0.5
2023,1,3,170000,0,3,0.75,0.5,1.0,0.5
2023,1,3,172200,0,3,0.8049999999999999,0.5,1.0,0.5
2023,1,3,176000,0,3,0.8999999999999999,0.5,1.0,0.5
2023,1,3,100000,100,3,-1.0,-1.0,-0.5,0.5
2023,2,3,100000,0,3,-1.0,-1.0,-0.5,0.5
2023,1,3,128000,0,3,-0.30000000000000004,-0.5,0.0,0.5
2023,1,3,145000,0,3,0.125,0.0,0.5,0.5
2023,1,3,115000,0,3,-0.625,-1.0,-0.5,0.5
2023,1,3,100000,0,3,-1.0,-1.0,-0.5,0.5
2023,1,3,162500,0,3,0.5625,0.5,1.0,0.5
2023,1,3,145000,0,3,0.125,0.0,0.5,0.5
2023,1,3,100000,0,3,-1.0,-1.0,-0.5,0.5
2023,4,3,145000,0,3,0.125,0.0,0.5,0.5
2023,4,3,115000,0,3,-0.625,-1.0,-0.5,0.5
2023,1,3,152000,0,3,0.30000000000000004,0.0,0.5,0.5
2023,1,3,122900,0,1,-0.4275,-0.5,0.0,0.5
2023,1,3,145000,0,3,0.125,0.0,0.5,0.5
2023,1,3,134236,0,3,-0.1441,-0.5,0.0,0.5
2023,1,3,112000,100,3,-0.7,-1.0,-0.5,0.5
2023,1,3,135000,0,3,-0.125,-0.5,0.0,0.5
2023,1,3,105500,0,3,-0.8625,-1.0,-0.5,0.5
2023,1,3,175000,100,3,0.875,0.5,1.0,0.5
2023,1,3,145000,100,3,0.125,0.0,0.5,0.5
2023,1,3,148500,0,3,0.2124999999999999,0.0,0.5,0.5
2023,1,3,123700,0,1,-0.4075,-0.5,0.0,0.5
2023,1,3,152900,100,3,0.3225,0.0,0.5,0.5
2023,1,3,117100,100,3,-0.5725,-1.0,-0.5,0.5
2023,1,3,173000,100,3,0.825,0.5,1.0,0.5
2023,1,3,113000,100,3,-0.675,-1.0,-0.5,0.5
